"Number / Range","Full Description","Procedure type","Approach","Replacement"
"02114JF","Bypass Coronary Artery, Two Arteries from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114JW","Bypass Coronary Artery, Two Arteries from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114K3","Bypass Coronary Artery, Two Arteries from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114K8","Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114K9","Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114KC","Bypass Coronary Artery, Two Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114KF","Bypass Coronary Artery, Two Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114KW","Bypass Coronary Artery, Two Arteries from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114Z3","Bypass Coronary Artery, Two Arteries from Coronary Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114Z8","Bypass Coronary Artery, Two Arteries from Right Internal Mammary, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114Z9","Bypass Coronary Artery, Two Arteries from Left Internal Mammary, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114ZC","Bypass Coronary Artery, Two Arteries from Thoracic Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114ZF","Bypass Coronary Artery, Two Arteries from Abdominal Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0212083","Bypass Coronary Artery, Three Arteries from Coronary Artery with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0212088","Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0212089","Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021208C","Bypass Coronary Artery, Three Arteries from Thoracic Artery with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021208F","Bypass Coronary Artery, Three Arteries from Abdominal Artery with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021208W","Bypass Coronary Artery, Three Arteries from Aorta with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0212093","Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0212098","Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0212099","Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021209C","Bypass Coronary Artery, Three Arteries from Thoracic Artery with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021209F","Bypass Coronary Artery, Three Arteries from Abdominal Artery with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021209W","Bypass Coronary Artery, Three Arteries from Aorta with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120A3","Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120A8","Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
