"group","codes"
"knee","0SRC0JZ"
"knee","0SRC0KD"
"knee","0SRC0KE"
"knee","0SRC0KZ"
"knee","0SRC0L9"
"knee","0SRC0LA"
"knee","0SRC0LZ"
"knee","0SRC0M9"
"knee","0SRC0MA"
"knee","0SRC0MZ"
"knee","0SRC0N9"
"knee","0SRC0NA"
"knee","0SRC0NZ"
"knee","0SRD069"
"knee","0SRD06A"
"knee","0SRD06Z"
"knee","0SRD07D"
"knee","0SRD07E"
"knee","0SRD07Z"
"knee","0SRD0EZ"
"knee","0SRD0J9"
"knee","0SRD0JA"
"knee","0SRD0JZ"
"knee","0SRD0KD"
"knee","0SRD0KE"
"knee","0SRD0KZ"
"knee","0SRD0L9"
"knee","0SRD0LA"
"knee","0SRD0LZ"
"knee","0SRD0M9"
"knee","0SRD0MA"
"knee","0SRD0MZ"
"knee","0SRD0N9"
"knee","0SRD0NA"
"knee","0SRD0NZ"
"knee","0SRT07Z"
"knee","0SRT0J9"
"knee","0SRT0JA"
"knee","0SRT0JZ"
"knee","0SRT0KZ"
"knee","0SRU07Z"
"knee","0SRU0J9"
"knee","0SRU0JA"
"knee","0SRU0JZ"
"knee","0SRU0KZ"
"knee","0SRV07Z"
"knee","0SRV0J9"
"knee","0SRV0JA"
"knee","0SRV0JZ"
"knee","0SRV0KZ"
"knee","0SRW07Z"
"knee","0SRW0J9"
"knee","0SRW0JA"
"knee","0SRW0JZ"
"knee","0SRW0KZ"
"knee","XRRG0L8"
"knee","XRRG0M8"
"knee","XRRH0L8"
"knee","XRRH0M8"
"knee","8154"
"knee","27447"
"knee","27487"
"lung","0BT30ZZ"
"lung","0BT34ZZ"
"lung","0BT40ZZ"
"lung","0BT44ZZ"
"lung","0BT50ZZ"
"lung","0BT54ZZ"
"lung","0BT60ZZ"
"lung","0BT64ZZ"
"lung","0BT70ZZ"
"lung","0BT74ZZ"
"lung","0BT80ZZ"
"lung","0BT84ZZ"
"lung","0BT90ZZ"
"lung","0BT94ZZ"
"lung","0BTB0ZZ"
"lung","0BTB4ZZ"
"lung","0BTC0ZZ"
"lung","0BTC4ZZ"
"lung","0BTD0ZZ"
"lung","0BTD4ZZ"
"lung","0BTF0ZZ"
"lung","0BTF4ZZ"
"lung","0BTG0ZZ"
"lung","0BTG4ZZ"
"lung","0BTH0ZZ"
"lung","0BTH4ZZ"
"lung","0BTJ0ZZ"
"lung","0BTJ4ZZ"
"lung","0BTK0ZZ"
"lung","0BTK4ZZ"
"lung","0BTL0ZZ"
"lung","0BTL4ZZ"
"lung","0BTM0ZZ"
"lung","0BTM4ZZ"
"lung","3230"
"lung","3239"
"lung","3241"
"lung","3249"
"lung","3250"
"lung","3259"
"lung","32491"
"lung","32507"
"lung","32668"
"neck","07B10ZX"
"neck","07B10ZZ"
"neck","07B13ZX"
"neck","07B13ZZ"
"neck","07B14ZX"
"neck","07B14ZZ"
"neck","07B20ZX"
"neck","07B20ZZ"
"neck","07B23ZX"
"neck","07B23ZZ"
"neck","07B24ZX"
"neck","07B24ZZ"
"neck","07T10ZZ"
"neck","07T14ZZ"
"neck","07T20ZZ"
"neck","07T24ZZ"
"neck","4040"
"neck","4041"
"neck","4042"
"neck","31365"
"neck","31368"
"neck","38542"
"neck","38720"
"neck","38724"
"neck","41135"
"neck","41145"
"neck","41155"
"neck","42426"
"neck","69155"
"spine","0RG1070"
"spine","0RG1071"
"spine","0RG107J"
"spine","0RG10A0"
"spine","0RG10AJ"
"spine","0RG10J0"
"spine","0RG10J1"
"spine","0RG10JJ"
"spine","0RG10K0"
"spine","0RG10K1"
"spine","0RG10KJ"
"spine","0RG1370"
"spine","0RG1371"
"spine","0RG137J"
"spine","0RG13A0"
"spine","0RG13AJ"
"spine","0RG13J0"
"spine","0RG13J1"
"spine","0RG13JJ"
"spine","0RG13K0"
"spine","0RG13K1"
"spine","0RG13KJ"
"spine","0RG1470"
"spine","0RG1471"
"spine","0RG147J"
"spine","0RG14A0"
"spine","0RG14AJ"
"spine","0RG14J0"
"spine","0RG14J1"
"spine","0RG14JJ"
"spine","0RG14K0"
"spine","0RG14K1"
"spine","0RG14KJ"
"spine","0RG2070"
"spine","0RG2071"
"spine","0RG207J"
"spine","0RG20A0"
"spine","0RG20AJ"
"spine","0RG20J0"
"spine","0RG20J1"
"spine","0RG20JJ"
"spine","0RG20K0"
"spine","0RG20K1"
"spine","0RG20KJ"
"spine","0RG2370"
"spine","0RG2371"
"spine","0RG237J"
"spine","0RG23A0"
"spine","0RG23AJ"
"spine","0RG23J0"
"spine","0RG23J1"
"spine","0RG23JJ"
"spine","0RG23K0"
"spine","0RG23K1"
"spine","0RG23KJ"
"spine","0RG2470"
"spine","0RG2471"
"spine","0RG247J"
"spine","0RG24A0"
"spine","0RG24AJ"
"spine","0RG24J0"
"spine","0RG24J1"
