"Number / Range","Full Description","Approach","WithDevice","DrugEluting","Brachytherapy"
"027047Z","Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"02704D6","Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02704DZ","Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02704E6","Dilation of Coronary Artery, One Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02704EZ","Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02704F6","Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02704FZ","Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02704G6","Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02704GZ","Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02704T6","Dilation of Coronary Artery, One Artery, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,TRUE
"02704TZ","Dilation of Coronary Artery, One Artery with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,TRUE
"02704Z6","Dilation of Coronary Artery, One Artery, Bifurcation, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",FALSE,FALSE,FALSE
"02704ZZ","Dilation of Coronary Artery, One Artery, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",FALSE,FALSE,FALSE
