"Code","Full Description","Class","Approach"
"0RG40AJ","Fusion of Cervicothoracic Vertebral Joint with Interbody Fusion Device, Posterior Approach, Anterior Column, Open Approach","spineFusion","Open Approach"
"0RG40J0","Fusion of Cervicothoracic Vertebral Joint with Synthetic Substitute, Anterior Approach, Anterior Column, Open Approach","spineFusion","Open Approach"
"0RG40J1","Fusion of Cervicothoracic Vertebral Joint with Synthetic Substitute, Posterior Approach, Posterior Column, Open Approach","spineFusion","Open Approach"
"0RG40JJ","Fusion of Cervicothoracic Vertebral Joint with Synthetic Substitute, Posterior Approach, Anterior Column, Open Approach","spineFusion","Open Approach"
"0RG40K0","Fusion of Cervicothoracic Vertebral Joint with Nonautologous Tissue Substitute, Anterior Approach, Anterior Column, Open Approach","spineFusion","Open Approach"
"0RG40K1","Fusion of Cervicothoracic Vertebral Joint with Nonautologous Tissue Substitute, Posterior Approach, Posterior Column, Open Approach","spineFusion","Open Approach"
"0RG40KJ","Fusion of Cervicothoracic Vertebral Joint with Nonautologous Tissue Substitute, Posterior Approach, Anterior Column, Open Approach","spineFusion","Open Approach"
"0RG40Z0","Fusion of Cervicothoracic Vertebral Joint, Anterior Approach, Anterior Column, Open Approach","spineFusion","Open Approach"
"0RG40Z1","Fusion of Cervicothoracic Vertebral Joint, Posterior Approach, Posterior Column, Open Approach","spineFusion","Open Approach"
"0RG40ZJ","Fusion of Cervicothoracic Vertebral Joint, Posterior Approach, Anterior Column, Open Approach","spineFusion","Open Approach"
"0RG4370","Fusion of Cervicothoracic Vertebral Joint with Autologous Tissue Substitute, Anterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG4371","Fusion of Cervicothoracic Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG437J","Fusion of Cervicothoracic Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG43A0","Fusion of Cervicothoracic Vertebral Joint with Interbody Fusion Device, Anterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG43A1",NA,"spineFusion",NA
"0RG43AJ","Fusion of Cervicothoracic Vertebral Joint with Interbody Fusion Device, Posterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG43J0","Fusion of Cervicothoracic Vertebral Joint with Synthetic Substitute, Anterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG43J1","Fusion of Cervicothoracic Vertebral Joint with Synthetic Substitute, Posterior Approach, Posterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
